sample_id,filepath,filename,umap_x,umap_y,latitude,longitude,file_type,size_bytes,site,camera_type
696902a9ece43907fa70abdb,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122702.jpg,20260112_122702.jpg,6.8242054,9.646069,-34.16172929972222,-70.68672519972223,JPEG,4439923,Lo Castillo,ground
696902a9ece43907fa70abdc,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122709.jpg,20260112_122709.jpg,8.999229,4.6166134,-34.16172929972222,-70.68672519972223,JPEG,6092131,Lo Castillo,ground
696902a9ece43907fa70abdd,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122712.jpg,20260112_122712.jpg,7.8896227,8.4277315,-34.16172929972222,-70.68672519972223,JPEG,6256015,Lo Castillo,ground
696902a9ece43907fa70abde,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122713.jpg,20260112_122713.jpg,4.3163815,7.216151,-34.16208069972222,-70.68700699972223,JPEG,5674181,Lo Castillo,ground
696902a9ece43907fa70abdf,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122718.jpg,20260112_122718.jpg,7.81355,8.895795,-34.16210819972222,-70.68707759972223,JPEG,5142818,Lo Castillo,ground
696902a9ece43907fa70abe0,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122720.jpg,20260112_122720.jpg,5.1354885,6.3043156,-34.16210819972222,-70.68707759972223,JPEG,5025032,Lo Castillo,ground
696902a9ece43907fa70abe1,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122721.jpg,20260112_122721.jpg,6.648304,9.225442,-34.16210819972222,-70.68707759972223,JPEG,4474380,Lo Castillo,ground
696902a9ece43907fa70abe2,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122728.jpg,20260112_122728.jpg,9.045963,7.037288,-34.16210819972222,-70.68707759972223,JPEG,5342552,Lo Castillo,ground
696902a9ece43907fa70abe3,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122736.jpg,20260112_122736.jpg,7.1137896,6.5273104,-34.16210819972222,-70.68707759972223,JPEG,5487657,Lo Castillo,ground
696902a9ece43907fa70abe4,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122742.jpg,20260112_122742.jpg,7.942356,8.785843,-34.16210819972222,-70.68707759972223,JPEG,5344652,Lo Castillo,ground
696902a9ece43907fa70abe5,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122750.jpg,20260112_122750.jpg,7.2939835,9.201952,-34.16210819972222,-70.68707759972223,JPEG,4353458,Lo Castillo,ground
696902a9ece43907fa70abe6,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122754.jpg,20260112_122754.jpg,8.119442,4.522139,-34.16210819972222,-70.68707759972223,JPEG,4916845,Lo Castillo,ground
696902a9ece43907fa70abe7,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122756.jpg,20260112_122756.jpg,7.6591177,5.016879,-34.16210819972222,-70.68707759972223,JPEG,5300488,Lo Castillo,ground
696902a9ece43907fa70abe8,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122758.jpg,20260112_122758.jpg,4.3588595,7.2781734,-34.16210819972222,-70.68707759972223,JPEG,5233158,Lo Castillo,ground
696902a9ece43907fa70abe9,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122801.jpg,20260112_122801.jpg,5.558249,8.346643,-34.16210819972222,-70.68707759972223,JPEG,4858878,Lo Castillo,ground
696902a9ece43907fa70abea,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122805.jpg,20260112_122805.jpg,4.650702,7.6663675,-34.16210819972222,-70.68707759972223,JPEG,5368552,Lo Castillo,ground
696902a9ece43907fa70abeb,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122807.jpg,20260112_122807.jpg,6.6706667,9.594974,-34.16210819972222,-70.68707759972223,JPEG,5039920,Lo Castillo,ground
